Year,Round,Region,Game,AFSeed,AFTeam,AFScore,AUSeed,AUTeam,AUScore
1991,2,NE,43,3,Oklahoma St.,73,6,North Carolina St.,64
1991,2,NE,44,10,Temple,77,15,Richmond,64
1991,2,SE,45,1,Arkansas,97,8,Arizona St.,90
1991,2,SE,46,4,Alabama,96,5,Wake Forest,88
1991,2,SE,47,3,Kansas,77,6,Pittsburgh,66
1991,2,SE,48,2,Indiana,82,7,Florida St.,60
1991,3,NW,49,1,UNLV,83,4,Utah,66
1991,3,NW,50,2,Arizona,77,3,Seton Hall,81
1991,3,SW,51,1,Ohio St.,74,4,St. John's,91
1991,3,SW,52,2,Duke,81,11,Connecticut,67
1991,3,NE,53,1,North Carolina,93,12,Eastern Michigan,67
1991,3,NE,54,3,Oklahoma St.,63,10,Temple,72
1991,3,SE,55,1,Arkansas,93,4,Alabama,70
1991,3,SE,56,2,Indiana,65,3,Kansas,83
1991,4,NW,57,1,UNLV,77,3,Seton Hall,65
1991,4,SW,58,2,Duke,78,4,St. John's,61
1991,4,NE,59,1,North Carolina,75,10,Temple,72
1991,4,SE,60,1,Arkansas,81,3,Kansas,93
1991,5,F4,61,1,UNLV,77,2,Duke,79
1991,5,F4,62,1,North Carolina,73,3,Kansas,79
1991,6,Champ,63,2,Duke,72,3,Kansas,65
1992,1,NW,1,1,Kansas,100,16,Howard,67
1992,1,NW,2,8,Evansville,50,9,UTEP,55
1992,1,NW,3,5,Michigan St.,61,12,Missouri St.,54
1992,1,NW,4,4,Cincinnati,85,13,Delaware,47
1992,1,NW,5,6,Memphis,80,11,Pepperdine,70
1992,1,NW,6,3,Arkansas,80,14,Murray St.,69
1992,1,NW,7,7,Georgia Tech,65,10,Houston,60
1992,1,NW,8,2,USC,84,15,Louisiana Monroe,54
1992,1,SW,9,1,Ohio St.,83,16,Mississippi Valley St.,56
1992,1,SW,10,8,Nebraska,65,9,Connecticut,86
1992,1,SW,11,5,Alabama,80,12,Stanford,75
1992,1,SW,12,4,North Carolina,68,13,Miami OH,63
1992,1,SW,13,6,Michigan,73,11,Temple,66
1992,1,SW,14,3,Arizona,80,14,East Tennessee St.,87
1992,1,SW,15,7,St. John's,57,10,Tulane,61
1992,1,SW,16,2,Oklahoma St.,100,15,Georgia Southern,73
1992,1,NE,17,1,Duke,82,16,Campbell,56
1992,1,NE,18,8,Texas,92,9,Iowa,98
1992,1,NE,19,5,Missouri,89,12,West Virginia,78
1992,1,NE,20,4,Seton Hall,78,13,La Salle,76
1992,1,NE,21,6,Syracuse,51,11,Princeton,43
1992,1,NE,22,3,Massachusetts,85,14,Fordham,58
1992,1,NE,23,7,Charlotte,74,10,Iowa St.,76
1992,1,NE,24,2,Kentucky,88,15,Old Dominion,69
1992,1,SE,25,1,UCLA,73,16,Robert Morris,53
1992,1,SE,26,8,Louisville,81,9,Wake Forest,58
