,Year,Round,Region,Game,AFSeed,AFTeam,AFScore,AUSeed,AUTeam,AUScore,PFSeed,PFTeam,PFScore,PUSeed,PUTeam,PUScore,Team_x,Conf_x,AdjEM_x,AdjO_x,AdjD_x,AdjT_x,SOSEM_x,SOSO_x,SOSD_x,BPIO_x,BPID_x,W_x,L_x,Pts_x,Opp_x,MOV_x,SOS_x,OSRS_x,DSRS_x,SRS_x,PASE_x,Team_y,Conf_y,AdjEM_y,AdjO_y,AdjD_y,AdjT_y,SOSEM_y,SOSO_y,SOSD_y,BPIO_y,BPID_y,W_y,L_y,Pts_y,Opp_y,MOV_y,SOS_y,OSRS_y,DSRS_y,SRS_y,PASE_y
32,2008,2,NW,33,1,North Carolina,108,9,Arkansas,77,1,North Carolina,108,9,Arkansas,77,North Carolina,ACC,30.22,122.1,91.9,72.5,10.18,108.0,97.8,19.2,1.0,36.0,3.0,88.6,72.5,16.05,8.12,23.41,0.76,24.17,0.2683080808080808,Arkansas,SEC,15.19,111.4,96.2,66.5,7.19,108.4,101.2,5.5,4.1,23.0,12.0,74.1,68.3,5.74,6.73,6.67,5.81,12.48,0.22255291005291
33,2008,2,NW,34,4,Washington St.,61,5,Notre Dame,41,4,Washington St.,61,5,Notre Dame,41,Washington St.,P10,24.32,115.1,90.8,58.3,8.99,109.0,100.0,1.1,13.2,26.0,9.0,66.4,56.4,10.0,6.35,0.1,16.25,16.35,-0.3564814814814815,Notre Dame,BE,19.07,114.6,95.6,69.5,6.88,107.5,100.6,10.6,1.6,25.0,8.0,79.0,69.6,9.42,7.03,13.12,3.03,16.15,-0.1689814814814815
34,2008,2,NW,35,3,Louisville,78,6,Oklahoma,48,3,Louisville,78,6,Oklahoma,48,Louisville,BE,25.41,113.1,87.7,65.3,9.34,108.4,99.0,7.1,9.1,27.0,9.0,72.5,61.5,11.0,8.0,7.15,11.85,19.0,0.3330662393162393,Oklahoma,B12,14.47,109.5,95.1,63.1,9.45,108.3,98.9,2.6,6.9,23.0,12.0,67.9,63.8,4.11,7.85,3.36,8.61,11.97,-0.2762345679012345
35,2008,2,NW,36,2,Tennessee,76,7,Butler,71,2,Tennessee,76,7,Butler,71,Tennessee,SEC,22.17,116.2,94.0,70.7,9.58,109.4,99.8,13.3,2.8,31.0,5.0,81.8,70.0,11.86,7.84,15.69,2.73,18.41,-0.1398148148148147,Butler,Horz,19.97,116.2,96.2,59.5,2.79,104.3,101.5,3.3,9.2,30.0,4.0,68.8,58.4,10.41,2.64,2.38,10.63,13.0,0.7087962962962963
36,2008,2,SW,37,1,Kansas,75,8,UNLV,56,1,Kansas,75,8,UNLV,56,Kansas,B12,35.21,120.9,85.7,66.8,9.57,109.2,99.6,12.4,9.6,37.0,3.0,80.5,61.5,19.03,8.2,14.9,11.99,26.9,-0.0087301587301587,UNLV,MWC,13.71,110.2,96.5,63.9,3.1,104.3,101.2,2.6,6.0,27.0,8.0,69.7,62.3,7.4,4.02,2.46,7.77,10.23,0.0342592592592592
37,2008,2,SW,38,12,Villanova,84,13,Siena,72,12,Villanova,84,13,Siena,72,Villanova,BE,14.21,109.2,95.0,68.1,9.14,108.9,99.8,5.6,3.4,22.0,13.0,72.8,69.5,3.31,7.69,6.92,4.08,11.0,0.1099537037037037,Siena,MAAC,7.99,108.6,100.7,67.6,-1.41,104.1,105.5,6.1,-1.0,23.0,11.0,76.9,71.2,5.68,-1.62,5.61,-1.55,4.06,0.4108796296296297
38,2008,2,SW,39,3,Wisconsin,72,11,Kansas St.,55,3,Wisconsin,72,11,Kansas St.,55,Wisconsin,B10,26.68,113.5,86.8,61.1,7.35,107.1,99.8,2.1,14.4,31.0,5.0,67.3,54.4,12.86,6.73,2.83,16.76,19.59,0.2889492753623188,Kansas St.,B12,18.9,114.2,95.3,69.7,9.09,108.0,98.9,8.6,1.1,21.0,12.0,78.0,68.9,9.09,7.79,12.61,3.17,15.79,-0.0777777777777777
39,2008,2,SW,40,2,Georgetown,70,10,Davidson,74,2,Georgetown,70,10,Davidson,74,Georgetown,BE,25.56,115.2,89.7,60.5,8.48,108.2,99.8,4.3,12.9,28.0,6.0,69.6,58.1,11.5,7.23,4.06,14.67,18.73,-0.1335227272727272,Davidson,SC,23.61,117.0,93.4,66.2,3.36,105.2,101.8,9.5,5.3,29.0,7.0,77.9,63.2,14.69,1.66,8.49,5.44,13.93,0.0055555555555556
40,2008,2,NE,41,1,Memphis,77,8,Mississippi St.,74,1,Memphis,77,8,Mississippi St.,74,Memphis,CUSA,31.51,118.0,86.5,68.1,5.83,107.0,101.1,11.3,8.0,38.0,2.0,79.9,61.9,17.98,5.76,13.46,10.28,23.73,0.0543981481481481,Mississippi St.,SEC,16.77,108.2,91.5,66.6,6.22,108.1,101.8,5.5,5.5,23.0,11.0,73.2,65.5,7.68,5.74,5.74,7.68,13.42,-0.1347222222222222
41,2008,2,NE,42,4,Pittsburgh,54,5,Michigan St.,65,4,Pittsburgh,54,5,Michigan St.,65,Pittsburgh,BE,19.91,116.5,96.6,63.9,9.52,107.8,98.3,7.2,6.0,27.0,10.0,73.8,65.1,8.68,7.84,8.0,7.63,15.62,-0.5098684210526315,Michigan St.,B10,21.15,115.8,94.7,63.3,8.71,108.2,99.5,5.8,7.8,27.0,9.0,71.2,62.6,8.64,7.68,7.0,9.32,16.32,0.3840996168582376
