Year,Round,Region,Game,AFSeed,AFTeam,AFScore,AUSeed,AUTeam,AUScore,Team_x,Conf_x,AdjEM_x,AdjO_x,AdjD_x,AdjT_x,BPIO_x,BPID_x,W_x,L_x,Pts_x,Opp_x,MOV_x,SOS_x,OSRS_x,DSRS_x,SRS_x,Team_y,Conf_y,AdjEM_y,AdjO_y,AdjD_y,AdjT_y,BPIO_y,BPID_y,W_y,L_y,Pts_y,Opp_y,MOV_y,SOS_y,OSRS_y,DSRS_y,SRS_y
2008,4,NW,57,1,North Carolina,83,3,Louisville,73,North Carolina,ACC,30.22,122.1,91.9,72.5,19.2,1,36,3,88.6,72.5,16.05,8.12,23.41,0.76,24.17,Louisville,BE,25.41,113.1,87.7,65.3,7.1,9.1,27,9,72.5,61.5,11,8,7.15,11.85,19
2008,4,SW,58,1,Kansas,59,10,Davidson,57,Kansas,B12,35.21,120.9,85.7,66.8,12.4,9.6,37,3,80.5,61.5,19.03,8.2,14.9,11.99,26.9,Davidson,SC,23.61,117,93.4,66.2,9.5,5.3,29,7,77.9,63.2,14.69,1.66,8.49,5.44,13.93
2008,4,NE,59,1,Memphis,85,2,Texas,67,Memphis,CUSA,31.51,118,86.5,68.1,11.3,8,38,2,79.9,61.9,17.98,5.76,13.46,10.28,23.73,Texas,B12,25.09,120.6,95.5,63.9,9.4,4.3,31,7,75.5,64.9,10.55,8.59,9.93,8.2,18.13
2008,4,SE,60,1,UCLA,76,3,Xavier,57,UCLA,P10,29.94,118,88.1,64.1,7.9,10.9,35,4,73.5,59,14.54,7.71,8.6,13.1,21.71,Xavier,A10,22.05,117.3,95.2,63.8,7.9,6.4,30,7,75.1,63.4,11.7,5.47,8.4,8.76,17.17
2008,5,F4,61,1,Kansas,84,1,North Carolina,66,Kansas,B12,35.21,120.9,85.7,66.8,12.4,9.6,37,3,80.5,61.5,19.03,8.2,14.9,11.99,26.9,North Carolina,ACC,30.22,122.1,91.9,72.5,19.2,1,36,3,88.6,72.5,16.05,8.12,23.41,0.76,24.17
2008,5,F4,62,1,Memphis,78,1,UCLA,63,Memphis,CUSA,31.51,118,86.5,68.1,11.3,8,38,2,79.9,61.9,17.98,5.76,13.46,10.28,23.73,UCLA,P10,29.94,118,88.1,64.1,7.9,10.9,35,4,73.5,59,14.54,7.71,8.6,13.1,21.71
2008,6,Champ,63,1,Kansas,75,1,Memphis,68,Kansas,B12,35.21,120.9,85.7,66.8,12.4,9.6,37,3,80.5,61.5,19.03,8.2,14.9,11.99,26.9,Memphis,CUSA,31.51,118,86.5,68.1,11.3,8,38,2,79.9,61.9,17.98,5.76,13.46,10.28,23.73
2009,1,NW,1,1,Louisville,74,16,Morehead St.,54,Louisville,BE,26.06,111.2,85.2,66.9,7.8,9.6,31,6,74.3,61.8,12.46,8.41,8.93,11.93,20.87,Morehead St.,OVC,0.76,102,101.3,65.3,-0.7,1.5,20,16,69.8,67,2.78,-3.61,-2.83,-0.31,-3.14
2009,1,NW,2,8,Ohio St.,72,9,Siena,74,Ohio St.,B10,16.34,113.3,96.9,62.5,2.9,6.8,22,11,66.8,62,4.85,8.23,4.13,8.35,12.48,Siena,MAAC,11.93,110.3,98.4,70.7,8.9,-1.3,27,8,77.4,70.3,7.06,0.99,10.28,-2.22,8.05
2009,1,NW,3,5,Utah,71,12,Arizona,84,Utah,MWC,17.8,110.8,92.9,65,3.6,3.1,24,10,71.2,64.6,6.65,5.72,5.36,7.24,12.59,Arizona,P10,15.96,117.7,101.8,64.9,7,-0.2,21,14,72.3,69.2,3.09,8.8,9.13,2.75,11.88
2009,1,NW,4,4,Wake Forest,69,13,Cleveland St.,84,Wake Forest,ACC,18.88,111.6,92.7,72.8,11.7,1.2,24,7,81,70.7,10.23,7.36,14.58,1.06,15.63,Cleveland St.,Horz,11.96,105.3,93.3,63.7,-0.8,7.5,26,11,66.4,59.5,6.81,2.12,-1.24,8.21,6.97
2009,1,NW,5,6,West Virginia,60,11,Dayton,68,West Virginia,BE,24.21,115.1,90.9,63.7,6.5,10,23,12,72,61.8,10.23,8.34,7.32,11.26,18.57,Dayton,A10,10.23,103.3,93,64.5,-0.4,7.3,27,8,66.8,61.4,5.4,1.76,-0.85,8,7.16
2009,1,NW,6,3,Kansas,84,14,North Dakota St.,74,Kansas,B12,23.83,114.5,90.7,67.2,8.8,6.1,27,8,76.4,65.4,10.97,7.9,10.34,7.68,18.02,North Dakota St.,Sum,12.29,114.3,102,67.5,10.8,-2.4,26,7,80.6,69.1,11.52,-2.72,9.61,-3.43,6.18
